sequence_record_id,associated_pathogen_record_id,associated_rodent_record_id,study_id,sequenceType,virus_clean,matched_virus,original_name,accession_number,country,eventDate,species,host_genus,gbif_id,coordinate_resolution,decimalLatitude,decimalLongitude,n_assayed,n_positive,n_negative,version
452,david_11368,david_6743,david_44,Pathogen,Orthohantavirus tulaense,Orthohantavirus tulaense,Orthohantavirus tulaense,ON239879,Kazakhstan,2018,Microtus arvalis,Microtus,2438606.0,city,44.83,78.8238,14.0,4.0,10.0,v2
453,david_11368,david_6743,david_44,Pathogen,Orthohantavirus tulaense,Orthohantavirus tulaense,Orthohantavirus tulaense,ON239880,Kazakhstan,2018,Microtus arvalis,Microtus,2438606.0,city,44.83,78.8238,14.0,4.0,10.0,v2
454,david_11368,david_6743,david_44,Pathogen,Orthohantavirus tulaense,Orthohantavirus tulaense,Orthohantavirus tulaense,ON239881,Kazakhstan,2018,Microtus arvalis,Microtus,2438606.0,city,44.83,78.8238,14.0,4.0,10.0,v2
455,david_11438,david_6813,david_44,Pathogen,Orthohantavirus tulaense,Orthohantavirus tulaense,Orthohantavirus tulaense,ON239882,Kazakhstan,2019,Microtus arvalis,Microtus,2438606.0,city,44.83,78.8238,28.0,4.0,24.0,v2
456,david_11438,david_6813,david_44,Pathogen,Orthohantavirus tulaense,Orthohantavirus tulaense,Orthohantavirus tulaense,ON239883,Kazakhstan,2019,Microtus arvalis,Microtus,2438606.0,city,44.83,78.8238,28.0,4.0,24.0,v2
457,david_11438,david_6813,david_44,Pathogen,Orthohantavirus tulaense,Orthohantavirus tulaense,Orthohantavirus tulaense,ON239884,Kazakhstan,2019,Microtus arvalis,Microtus,2438606.0,city,44.83,78.8238,28.0,4.0,24.0,v2
458,david_11438,david_6813,david_44,Pathogen,Orthohantavirus tulaense,Orthohantavirus tulaense,Orthohantavirus tulaense,ON239885,Kazakhstan,2019,Microtus arvalis,Microtus,2438606.0,city,44.83,78.8238,28.0,4.0,24.0,v2
459,david_11448,david_6823,david_44,Pathogen,Orthohantavirus tulaense,Orthohantavirus tulaense,Orthohantavirus tulaense,ON239886,Kazakhstan,2019,Microtus arvalis,Microtus,2438606.0,city,44.6719,78.9047,30.0,4.0,26.0,v2
460,david_11448,david_6823,david_44,Pathogen,Orthohantavirus tulaense,Orthohantavirus tulaense,Orthohantavirus tulaense,ON239887,Kazakhstan,2019,Microtus arvalis,Microtus,2438606.0,city,44.6719,78.9047,30.0,4.0,26.0,v2
461,david_11448,david_6823,david_44,Pathogen,Orthohantavirus tulaense,Orthohantavirus tulaense,Orthohantavirus tulaense,ON239888,Kazakhstan,2019,Microtus arvalis,Microtus,2438606.0,city,44.6719,78.9047,30.0,4.0,26.0,v2
462,david_11448,david_6823,david_44,Pathogen,Orthohantavirus tulaense,Orthohantavirus tulaense,Orthohantavirus tulaense,ON239889,Kazakhstan,2019,Microtus arvalis,Microtus,2438606.0,city,44.6719,78.9047,30.0,4.0,26.0,v2
463,david_11548,david_6923,david_44,Pathogen,Orthohantavirus tulaense,Orthohantavirus tulaense,Orthohantavirus tulaense,ON239890,Kazakhstan,2019,Microtus arvalis,Microtus,2438606.0,district,51.21,50.87,5.0,1.0,4.0,v2
467,david_11590,david_6962,david_45,Pathogen,,,Mammarenaviridae,KY659332,China,2013-2016,Suncus murinus,Suncus,2435520.0,city,22.5415,114.0596,196.0,1.0,195.0,v2
468,david_11588,david_6960,david_45,Pathogen,,,Mammarenaviridae,KY659333,China,2013-2016,Rattus norvegicus,Rattus,2439261.0,city,22.5415,114.0596,209.0,14.0,195.0,v2
469,david_11588,david_6960,david_45,Pathogen,,,Mammarenaviridae,KY659334,China,2013-2016,Rattus norvegicus,Rattus,2439261.0,city,22.5415,114.0596,209.0,14.0,195.0,v2
470,david_11588,david_6960,david_45,Pathogen,,,Mammarenaviridae,KY659335,China,2013-2016,Rattus norvegicus,Rattus,2439261.0,city,22.5415,114.0596,209.0,14.0,195.0,v2
471,david_11588,david_6960,david_45,Pathogen,,,Mammarenaviridae,KY659336,China,2013-2016,Rattus norvegicus,Rattus,2439261.0,city,22.5415,114.0596,209.0,14.0,195.0,v2
472,david_11588,david_6960,david_45,Pathogen,,,Mammarenaviridae,KY659337,China,2013-2016,Rattus norvegicus,Rattus,2439261.0,city,22.5415,114.0596,209.0,14.0,195.0,v2
473,david_11588,david_6960,david_45,Pathogen,,,Mammarenaviridae,KY659338,China,2013-2016,Rattus norvegicus,Rattus,2439261.0,city,22.5415,114.0596,209.0,14.0,195.0,v2
474,david_11588,david_6960,david_45,Pathogen,,,Mammarenaviridae,KY659339,China,2013-2016,Rattus norvegicus,Rattus,2439261.0,city,22.5415,114.0596,209.0,14.0,195.0,v2
475,david_11588,david_6960,david_45,Pathogen,,,Mammarenaviridae,KY659340,China,2013-2016,Rattus norvegicus,Rattus,2439261.0,city,22.5415,114.0596,209.0,14.0,195.0,v2
476,david_11588,david_6960,david_45,Pathogen,,,Mammarenaviridae,KY659341,China,2013-2016,Rattus norvegicus,Rattus,2439261.0,city,22.5415,114.0596,209.0,14.0,195.0,v2
477,david_11588,david_6960,david_45,Pathogen,,,Mammarenaviridae,KY659342,China,2013-2016,Rattus norvegicus,Rattus,2439261.0,city,22.5415,114.0596,209.0,14.0,195.0,v2
478,david_11588,david_6960,david_45,Pathogen,,,Mammarenaviridae,KY659343,China,2013-2016,Rattus norvegicus,Rattus,2439261.0,city,22.5415,114.0596,209.0,14.0,195.0,v2
479,david_11588,david_6960,david_45,Pathogen,,,Mammarenaviridae,KY659344,China,2013-2016,Rattus norvegicus,Rattus,2439261.0,city,22.5415,114.0596,209.0,14.0,195.0,v2
480,david_11588,david_6960,david_45,Pathogen,,,Mammarenaviridae,KY659345,China,2013-2016,Rattus norvegicus,Rattus,2439261.0,city,22.5415,114.0596,209.0,14.0,195.0,v2
481,david_11588,david_6960,david_45,Pathogen,,,Mammarenaviridae,KY659346,China,2013-2016,Rattus norvegicus,Rattus,2439261.0,city,22.5415,114.0596,209.0,14.0,195.0,v2
482,david_11587,david_6962,david_45,Pathogen,,,Hantaviridae,KY659347,China,2013-2016,Suncus murinus,Suncus,2435520.0,city,22.5415,114.0596,196.0,1.0,195.0,v2
483,david_11585,david_6960,david_45,Pathogen,,,Hantaviridae,KY659348,China,2013-2016,Rattus norvegicus,Rattus,2439261.0,city,22.5415,114.0596,209.0,28.0,181.0,v2
484,david_11585,david_6960,david_45,Pathogen,,,Hantaviridae,KY659349,China,2013-2016,Rattus norvegicus,Rattus,2439261.0,city,22.5415,114.0596,209.0,28.0,181.0,v2
485,david_11585,david_6960,david_45,Pathogen,,,Hantaviridae,KY659350,China,2013-2016,Rattus norvegicus,Rattus,2439261.0,city,22.5415,114.0596,209.0,28.0,181.0,v2
486,david_11585,david_6960,david_45,Pathogen,,,Hantaviridae,KY659351,China,2013-2016,Rattus norvegicus,Rattus,2439261.0,city,22.5415,114.0596,209.0,28.0,181.0,v2
487,david_11585,david_6960,david_45,Pathogen,,,Hantaviridae,KY659352,China,2013-2016,Rattus norvegicus,Rattus,2439261.0,city,22.5415,114.0596,209.0,28.0,181.0,v2
488,david_11585,david_6960,david_45,Pathogen,,,Hantaviridae,KY659353,China,2013-2016,Rattus norvegicus,Rattus,2439261.0,city,22.5415,114.0596,209.0,28.0,181.0,v2
489,david_11585,david_6960,david_45,Pathogen,,,Hantaviridae,KY659354,China,2013-2016,Rattus norvegicus,Rattus,2439261.0,city,22.5415,114.0596,209.0,28.0,181.0,v2
490,david_11585,david_6960,david_45,Pathogen,,,Hantaviridae,KY659355,China,2013-2016,Rattus norvegicus,Rattus,2439261.0,city,22.5415,114.0596,209.0,28.0,181.0,v2
491,david_11585,david_6960,david_45,Pathogen,,,Hantaviridae,KY659356,China,2013-2016,Rattus norvegicus,Rattus,2439261.0,city,22.5415,114.0596,209.0,28.0,181.0,v2
492,david_11585,david_6960,david_45,Pathogen,,,Hantaviridae,KY659357,China,2013-2016,Rattus norvegicus,Rattus,2439261.0,city,22.5415,114.0596,209.0,28.0,181.0,v2
493,david_11585,david_6960,david_45,Pathogen,,,Hantaviridae,KY659358,China,2013-2016,Rattus norvegicus,Rattus,2439261.0,city,22.5415,114.0596,209.0,28.0,181.0,v2
494,david_11585,david_6960,david_45,Pathogen,,,Hantaviridae,KY659359,China,2013-2016,Rattus norvegicus,Rattus,2439261.0,city,22.5415,114.0596,209.0,28.0,181.0,v2
495,david_11585,david_6960,david_45,Pathogen,,,Hantaviridae,KY659360,China,2013-2016,Rattus norvegicus,Rattus,2439261.0,city,22.5415,114.0596,209.0,28.0,181.0,v2
496,david_11585,david_6960,david_45,Pathogen,,,Hantaviridae,KY659361,China,2013-2016,Rattus norvegicus,Rattus,2439261.0,city,22.5415,114.0596,209.0,28.0,181.0,v2
497,david_11585,david_6960,david_45,Pathogen,,,Hantaviridae,KY659362,China,2013-2016,Rattus norvegicus,Rattus,2439261.0,city,22.5415,114.0596,209.0,28.0,181.0,v2
498,david_11585,david_6960,david_45,Pathogen,,,Hantaviridae,KY659363,China,2013-2016,Rattus norvegicus,Rattus,2439261.0,city,22.5415,114.0596,209.0,28.0,181.0,v2
499,david_11585,david_6960,david_45,Pathogen,,,Hantaviridae,KY659364,China,2013-2016,Rattus norvegicus,Rattus,2439261.0,city,22.5415,114.0596,209.0,28.0,181.0,v2
500,david_11585,david_6960,david_45,Pathogen,,,Hantaviridae,KY659365,China,2013-2016,Rattus norvegicus,Rattus,2439261.0,city,22.5415,114.0596,209.0,28.0,181.0,v2
501,david_11585,david_6960,david_45,Pathogen,,,Hantaviridae,KY659366,China,2013-2016,Rattus norvegicus,Rattus,2439261.0,city,22.5415,114.0596,209.0,28.0,181.0,v2
502,david_11585,david_6960,david_45,Pathogen,,,Hantaviridae,KY659367,China,2013-2016,Rattus norvegicus,Rattus,2439261.0,city,22.5415,114.0596,209.0,28.0,181.0,v2
503,david_11585,david_6960,david_45,Pathogen,,,Hantaviridae,KY659368,China,2013-2016,Rattus norvegicus,Rattus,2439261.0,city,22.5415,114.0596,209.0,28.0,181.0,v2
504,david_11585,david_6960,david_45,Pathogen,,,Hantaviridae,KY659369,China,2013-2016,Rattus norvegicus,Rattus,2439261.0,city,22.5415,114.0596,209.0,28.0,181.0,v2
505,david_11585,david_6960,david_45,Pathogen,,,Hantaviridae,KY659370,China,2013-2016,Rattus norvegicus,Rattus,2439261.0,city,22.5415,114.0596,209.0,28.0,181.0,v2
506,david_11585,david_6960,david_45,Pathogen,,,Hantaviridae,KY659371,China,2013-2016,Rattus norvegicus,Rattus,2439261.0,city,22.5415,114.0596,209.0,28.0,181.0,v2
507,david_11585,david_6960,david_45,Pathogen,,,Hantaviridae,KY659372,China,2013-2016,Rattus norvegicus,Rattus,2439261.0,city,22.5415,114.0596,209.0,28.0,181.0,v2
508,david_11585,david_6960,david_45,Pathogen,,,Hantaviridae,KY659373,China,2013-2016,Rattus norvegicus,Rattus,2439261.0,city,22.5415,114.0596,209.0,28.0,181.0,v2
509,david_11585,david_6960,david_45,Pathogen,,,Hantaviridae,KY659374,China,2013-2016,Rattus norvegicus,Rattus,2439261.0,city,22.5415,114.0596,209.0,28.0,181.0,v2
510,david_11585,david_6960,david_45,Pathogen,,,Hantaviridae,KY659375,China,2013-2016,Rattus norvegicus,Rattus,2439261.0,city,22.5415,114.0596,209.0,28.0,181.0,v2
511,david_11612,david_6972,david_47,Pathogen,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus dobravaense,MN657233,Austria,2011-2017,Apodemus agrarius,Apodemus,2437761.0,land type,47.7607,16.7488,14.0,1.0,13.0,v2
512,david_11613,david_6973,david_47,Pathogen,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus dobravaense,MW151008,Austria,2011-2017,Apodemus agrarius,Apodemus,2437761.0,land type,47.7228,16.838,6.0,1.0,5.0,v2
513,david_11612,david_6972,david_47,Pathogen,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus dobravaense,MW091492,Austria,2011-2017,Apodemus agrarius,Apodemus,2437761.0,land type,47.7607,16.7488,14.0,1.0,13.0,v2
514,david_11613,david_6973,david_47,Pathogen,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus dobravaense,MW091491,Austria,2011-2017,Apodemus agrarius,Apodemus,2437761.0,land type,47.7228,16.838,6.0,1.0,5.0,v2
515,david_11612,david_6972,david_47,Pathogen,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus dobravaense,MW091493,Austria,2011-2017,Apodemus agrarius,Apodemus,2437761.0,land type,47.7607,16.7488,14.0,1.0,13.0,v2
516,david_11613,david_6973,david_47,Pathogen,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus dobravaense,MW091494,Austria,2011-2017,Apodemus agrarius,Apodemus,2437761.0,land type,47.7228,16.838,6.0,1.0,5.0,v2
517,david_12986,david_7500,david_49,Pathogen,Orthohantavirus bayoui,Orthohantavirus bayoui,Bayou Virus,GQ200820,USA,1998-05-14/18,Oryzomys palustris,Oryzomys,2438095.0,village,29.3018,-94.9038,1.0,1.0,0.0,v2
518,david_13004,david_7518,david_49,Pathogen,Orthohantavirus bayoui,Orthohantavirus bayoui,Bayou Virus,KX066103,USA,1998-04-24,Oryzomys palustris,Oryzomys,2438095.0,management area,28.9497,-95.4872,1.0,1.0,0.0,v2
519,david_13022,david_7536,david_49,Pathogen,Orthohantavirus bayoui,Orthohantavirus bayoui,Bayou Virus,KX066104,USA,1998-04-25,Oryzomys palustris,Oryzomys,2438095.0,management area,28.6629,-96.005,1.0,1.0,0.0,v2
520,david_13318,david_7448,david_49,Pathogen,Limestone Canyon virus,Limestone Canyon virus,Limestone Canyon Virus,KX066105,USA,1998-07-14/19,Peromyscus boylii,Peromyscus,2438038.0,preserve,30.6333,-104.1675,2.0,2.0,0.0,v2
521,david_13318,david_7448,david_49,Pathogen,Limestone Canyon virus,Limestone Canyon virus,Limestone Canyon Virus,KX066106,USA,1998-07-14/19,Peromyscus boylii,Peromyscus,2438038.0,preserve,30.6333,-104.1675,2.0,2.0,0.0,v2
522,david_13336,david_7466,david_49,Pathogen,Limestone Canyon virus,Limestone Canyon virus,Limestone Canyon Virus,KX066107,USA,1999-07-21/23,Peromyscus boylii,Peromyscus,2438038.0,preserve,30.6333,-104.1675,3.0,3.0,0.0,v2
523,david_13336,david_7466,david_49,Pathogen,Limestone Canyon virus,Limestone Canyon virus,Limestone Canyon Virus,KX066108,USA,1999-07-21/23,Peromyscus boylii,Peromyscus,2438038.0,preserve,30.6333,-104.1675,3.0,3.0,0.0,v2
524,david_13336,david_7466,david_49,Pathogen,Limestone Canyon virus,Limestone Canyon virus,Limestone Canyon Virus,KX066109,USA,1999-07-21/23,Peromyscus boylii,Peromyscus,2438038.0,preserve,30.6333,-104.1675,3.0,3.0,0.0,v2
525,david_13739,david_7485,david_49,Pathogen,Orthohantavirus sinnombrense,Orthohantavirus sinnombrense,Sin Nombre Virus,KX066110,USA,1998-05-14/18,Peromyscus pectoralis,Peromyscus,2438024.0,management area,30.0641,-99.5064,1.0,1.0,0.0,v2
526,david_13737,david_7483,david_49,Pathogen,Orthohantavirus sinnombrense,Orthohantavirus sinnombrense,Sin Nombre Virus,KX066111,USA,1998-05-14/18,Peromyscus attwateri,Peromyscus,2437970.0,management area,30.0641,-99.5064,4.0,4.0,0.0,v2
527,david_13737,david_7483,david_49,Pathogen,Orthohantavirus sinnombrense,Orthohantavirus sinnombrense,Sin Nombre Virus,KX066112,USA,1998-05-14/18,Peromyscus attwateri,Peromyscus,2437970.0,management area,30.0641,-99.5064,4.0,4.0,0.0,v2
528,david_13737,david_7483,david_49,Pathogen,Orthohantavirus sinnombrense,Orthohantavirus sinnombrense,Sin Nombre Virus,KX066113,USA,1998-05-14/18,Peromyscus attwateri,Peromyscus,2437970.0,management area,30.0641,-99.5064,4.0,4.0,0.0,v2
529,david_13737,david_7483,david_49,Pathogen,Orthohantavirus sinnombrense,Orthohantavirus sinnombrense,Sin Nombre Virus,KX066114,USA,1998-05-14/18,Peromyscus attwateri,Peromyscus,2437970.0,management area,30.0641,-99.5064,4.0,4.0,0.0,v2
530,david_14037,david_7399,david_49,Pathogen,Muleshoe hantavirus,Muleshoe hantavirus,Muleshoe Virus,KX066123,USA,2007-07-09,Sigmodon hispidus,Sigmodon,2438147.0,8.9km,33.1658,-101.7994,1.0,1.0,0.0,v2
531,david_14073,david_7435,david_49,Pathogen,Muleshoe hantavirus,Muleshoe hantavirus,Muleshoe Virus,KX066115,USA,1999-07-10/14,Sigmodon hispidus,Sigmodon,2438147.0,management area,33.2345,-94.7293,3.0,3.0,0.0,v2
532,david_14073,david_7435,david_49,Pathogen,Muleshoe hantavirus,Muleshoe hantavirus,Muleshoe Virus,KX066116,USA,1999-07-10/14,Sigmodon hispidus,Sigmodon,2438147.0,management area,33.2345,-94.7293,3.0,3.0,0.0,v2
533,david_14073,david_7435,david_49,Pathogen,Muleshoe hantavirus,Muleshoe hantavirus,Muleshoe Virus,KX066124,USA,1999-07-10/14,Sigmodon hispidus,Sigmodon,2438147.0,management area,33.2345,-94.7293,3.0,3.0,0.0,v2
534,david_13665,david_7411,david_49,Pathogen,Orthohantavirus sinnombrense,Orthohantavirus sinnombrense,Sin Nombre Virus,KX066117,USA,1998-02-07/09,Peromyscus attwateri,Peromyscus,2437970.0,management area,34.1177,-100.3449,1.0,1.0,0.0,v2
535,david_13668,david_7414,david_49,Pathogen,Orthohantavirus sinnombrense,Orthohantavirus sinnombrense,Sin Nombre Virus,KX066118,USA,1998-02-07/09,Peromyscus leucopus,Peromyscus,2438019.0,management area,34.1177,-100.3449,3.0,3.0,0.0,v2
536,david_13668,david_7414,david_49,Pathogen,Orthohantavirus sinnombrense,Orthohantavirus sinnombrense,Sin Nombre Virus,KX066119,USA,1998-02-07/09,Peromyscus leucopus,Peromyscus,2438019.0,management area,34.1177,-100.3449,3.0,3.0,0.0,v2
537,david_13668,david_7414,david_49,Pathogen,Orthohantavirus sinnombrense,Orthohantavirus sinnombrense,Sin Nombre Virus,KX066120,USA,1998-02-07/09,Peromyscus leucopus,Peromyscus,2438019.0,management area,34.1177,-100.3449,3.0,3.0,0.0,v2
538,david_13669,david_7415,david_49,Pathogen,Orthohantavirus sinnombrense,Orthohantavirus sinnombrense,Sin Nombre Virus,KX066121,USA,1998-02-07/09,Reithrodontomys fulvescens,Reithrodontomys,2437864.0,management area,34.1177,-100.3449,1.0,1.0,0.0,v2
539,david_13463,david_7209,david_49,Pathogen,Orthohantavirus sinnombrense,Orthohantavirus sinnombrense,Sin Nombre Virus,KX066122,USA,2001-2012,Peromyscus leucopus,Peromyscus,2438019.0,county,28.42,-99.75,1.0,1.0,0.0,v2
542,david_14742,david_7804,david_50,Pathogen,,,Arenaviridae,MG736216,China,2016,Rattus norvegicus,Rattus,2439261.0,county,24.9136,103.1478,3.0,3.0,0.0,v2
543,david_14742,david_7804,david_50,Pathogen,,,Arenaviridae,MG736217,China,2016,Rattus norvegicus,Rattus,2439261.0,county,24.9136,103.1478,3.0,3.0,0.0,v2
544,david_14794,david_7856,david_50,Pathogen,,,Arenaviridae,MG736218,China,2015/2017,Rattus tanezumi,Rattus,2439262.0,county,25.7177,101.8611,34.0,5.0,29.0,v2
545,david_14794,david_7856,david_50,Pathogen,,,Arenaviridae,MG736219,China,2015/2017,Rattus tanezumi,Rattus,2439262.0,county,25.7177,101.8611,34.0,5.0,29.0,v2
546,david_14802,david_7864,david_50,Pathogen,,,Arenaviridae,MG736220,China,2015/2017,Tupaia belangeri,Tupaia,2436268.0,county,25.7177,101.8611,7.0,1.0,6.0,v2
547,david_14791,david_7853,david_50,Pathogen,,,Arenaviridae,MG736221,China,2015/2017,Rattus nitidus,Rattus,2439234.0,county,25.7177,101.8611,6.0,1.0,5.0,v2
548,david_14792,david_7854,david_50,Pathogen,,,Arenaviridae,MG736222,China,2015/2017,Rattus norvegicus,Rattus,2439261.0,county,25.7177,101.8611,92.0,15.0,77.0,v2
549,david_14792,david_7854,david_50,Pathogen,,,Arenaviridae,MG736223,China,2015/2017,Rattus norvegicus,Rattus,2439261.0,county,25.7177,101.8611,92.0,15.0,77.0,v2
550,david_14794,david_7856,david_50,Pathogen,,,Arenaviridae,MG736224,China,2015/2017,Rattus tanezumi,Rattus,2439262.0,county,25.7177,101.8611,34.0,5.0,29.0,v2
551,david_14794,david_7856,david_50,Pathogen,,,Arenaviridae,MG736225,China,2015/2017,Rattus tanezumi,Rattus,2439262.0,county,25.7177,101.8611,34.0,5.0,29.0,v2
552,david_14792,david_7854,david_50,Pathogen,,,Arenaviridae,MG736226,China,2015/2017,Rattus norvegicus,Rattus,2439261.0,county,25.7177,101.8611,92.0,15.0,77.0,v2
553,david_14794,david_7856,david_50,Pathogen,,,Arenaviridae,MG736227,China,2015/2017,Rattus tanezumi,Rattus,2439262.0,county,25.7177,101.8611,34.0,5.0,29.0,v2
554,david_14794,david_7856,david_50,Pathogen,,,Arenaviridae,MG736228,China,2015/2017,Rattus tanezumi,Rattus,2439262.0,county,25.7177,101.8611,34.0,5.0,29.0,v2
555,david_14792,david_7854,david_50,Pathogen,,,Arenaviridae,MG736229,China,2015/2017,Rattus norvegicus,Rattus,2439261.0,county,25.7177,101.8611,92.0,15.0,77.0,v2
556,david_14792,david_7854,david_50,Pathogen,,,Arenaviridae,MG736230,China,2015/2017,Rattus norvegicus,Rattus,2439261.0,county,25.7177,101.8611,92.0,15.0,77.0,v2
557,david_14742,david_7804,david_50,Pathogen,,,Arenaviridae,MG736231,China,2016,Rattus norvegicus,Rattus,2439261.0,county,24.9136,103.1478,3.0,3.0,0.0,v2
558,david_14792,david_7854,david_50,Pathogen,,,Arenaviridae,MG736232,China,2015/2017,Rattus norvegicus,Rattus,2439261.0,county,25.7177,101.8611,92.0,15.0,77.0,v2
559,david_14792,david_7854,david_50,Pathogen,,,Arenaviridae,MG736233,China,2015/2017,Rattus norvegicus,Rattus,2439261.0,county,25.7177,101.8611,92.0,15.0,77.0,v2
560,david_14742,david_7804,david_50,Pathogen,,,Arenaviridae,MG736234,China,2016,Rattus norvegicus,Rattus,2439261.0,county,24.9136,103.1478,3.0,3.0,0.0,v2
561,david_14742,david_7804,david_50,Pathogen,,,Arenaviridae,MG736235,China,2016,Rattus norvegicus,Rattus,2439261.0,county,24.9136,103.1478,3.0,3.0,0.0,v2
562,david_14794,david_7856,david_50,Pathogen,,,Arenaviridae,MG736236,China,2015/2017,Rattus tanezumi,Rattus,2439262.0,county,25.7177,101.8611,34.0,5.0,29.0,v2
563,david_14617,david_7679,david_50,Pathogen,Mammarenavirus piritalense,Mammarenavirus piritalense,Mammarenavirus wenzhouense,MK192269,China,2017,Rattus norvegicus,Rattus,2439261.0,county,24.532,103.766,82.0,16.0,66.0,v2
564,david_14617,david_7679,david_50,Pathogen,Mammarenavirus piritalense,Mammarenavirus piritalense,Mammarenavirus wenzhouense,MK192270,China,2017,Rattus norvegicus,Rattus,2439261.0,county,24.532,103.766,82.0,16.0,66.0,v2
565,david_14617,david_7679,david_50,Pathogen,Mammarenavirus piritalense,Mammarenavirus piritalense,Mammarenavirus wenzhouense,MK192271,China,2017,Rattus norvegicus,Rattus,2439261.0,county,24.532,103.766,82.0,16.0,66.0,v2
566,david_14617,david_7679,david_50,Pathogen,Mammarenavirus piritalense,Mammarenavirus piritalense,Mammarenavirus wenzhouense,MK192272,China,2017,Rattus norvegicus,Rattus,2439261.0,county,24.532,103.766,82.0,16.0,66.0,v2
567,david_14617,david_7679,david_50,Pathogen,Mammarenavirus piritalense,Mammarenavirus piritalense,Mammarenavirus wenzhouense,MK192273,China,2017,Rattus norvegicus,Rattus,2439261.0,county,24.532,103.766,82.0,16.0,66.0,v2
568,david_14617,david_7679,david_50,Pathogen,Mammarenavirus piritalense,Mammarenavirus piritalense,Mammarenavirus wenzhouense,MK192274,China,2017,Rattus norvegicus,Rattus,2439261.0,county,24.532,103.766,82.0,16.0,66.0,v2
569,david_14617,david_7679,david_50,Pathogen,Mammarenavirus piritalense,Mammarenavirus piritalense,Mammarenavirus wenzhouense,MK192275,China,2017,Rattus norvegicus,Rattus,2439261.0,county,24.532,103.766,82.0,16.0,66.0,v2
570,david_14617,david_7679,david_50,Pathogen,Mammarenavirus piritalense,Mammarenavirus piritalense,Mammarenavirus wenzhouense,MK192276,China,2017,Rattus norvegicus,Rattus,2439261.0,county,24.532,103.766,82.0,16.0,66.0,v2
571,david_14617,david_7679,david_50,Pathogen,Mammarenavirus piritalense,Mammarenavirus piritalense,Mammarenavirus wenzhouense,MK192277,China,2017,Rattus norvegicus,Rattus,2439261.0,county,24.532,103.766,82.0,16.0,66.0,v2
572,david_14617,david_7679,david_50,Pathogen,Mammarenavirus piritalense,Mammarenavirus piritalense,Mammarenavirus wenzhouense,MK192278,China,2017,Rattus norvegicus,Rattus,2439261.0,county,24.532,103.766,82.0,16.0,66.0,v2
573,david_14617,david_7679,david_50,Pathogen,Mammarenavirus piritalense,Mammarenavirus piritalense,Mammarenavirus wenzhouense,MK192279,China,2017,Rattus norvegicus,Rattus,2439261.0,county,24.532,103.766,82.0,16.0,66.0,v2
574,david_14617,david_7679,david_50,Pathogen,Mammarenavirus piritalense,Mammarenavirus piritalense,Mammarenavirus wenzhouense,MK192280,China,2017,Rattus norvegicus,Rattus,2439261.0,county,24.532,103.766,82.0,16.0,66.0,v2
575,david_14617,david_7679,david_50,Pathogen,Mammarenavirus piritalense,Mammarenavirus piritalense,Mammarenavirus wenzhouense,MK192281,China,2017,Rattus norvegicus,Rattus,2439261.0,county,24.532,103.766,82.0,16.0,66.0,v2
576,david_14617,david_7679,david_50,Pathogen,Mammarenavirus piritalense,Mammarenavirus piritalense,Mammarenavirus wenzhouense,MK192282,China,2017,Rattus norvegicus,Rattus,2439261.0,county,24.532,103.766,82.0,16.0,66.0,v2
577,david_14617,david_7679,david_50,Pathogen,Mammarenavirus piritalense,Mammarenavirus piritalense,Mammarenavirus wenzhouense,MK192283,China,2017,Rattus norvegicus,Rattus,2439261.0,county,24.532,103.766,82.0,16.0,66.0,v2
578,david_14617,david_7679,david_50,Pathogen,Mammarenavirus piritalense,Mammarenavirus piritalense,Mammarenavirus wenzhouense,MK192284,China,2017,Rattus norvegicus,Rattus,2439261.0,county,24.532,103.766,82.0,16.0,66.0,v2
579,david_14792,david_7854,david_50,Pathogen,Mammarenavirus piritalense,Mammarenavirus piritalense,Mammarenavirus wenzhouense,MK192285,China,2015/2017,Rattus norvegicus,Rattus,2439261.0,county,25.7177,101.8611,92.0,15.0,77.0,v2
580,david_14792,david_7854,david_50,Pathogen,Mammarenavirus piritalense,Mammarenavirus piritalense,Mammarenavirus wenzhouense,MK192286,China,2015/2017,Rattus norvegicus,Rattus,2439261.0,county,25.7177,101.8611,92.0,15.0,77.0,v2
581,david_14792,david_7854,david_50,Pathogen,Mammarenavirus piritalense,Mammarenavirus piritalense,Mammarenavirus wenzhouense,MK192287,China,2015/2017,Rattus norvegicus,Rattus,2439261.0,county,25.7177,101.8611,92.0,15.0,77.0,v2
582,david_14792,david_7854,david_50,Pathogen,Mammarenavirus piritalense,Mammarenavirus piritalense,Mammarenavirus wenzhouense,MK192288,China,2015/2017,Rattus norvegicus,Rattus,2439261.0,county,25.7177,101.8611,92.0,15.0,77.0,v2
583,david_14792,david_7854,david_50,Pathogen,Mammarenavirus piritalense,Mammarenavirus piritalense,Mammarenavirus wenzhouense,MK192289,China,2015/2017,Rattus norvegicus,Rattus,2439261.0,county,25.7177,101.8611,92.0,15.0,77.0,v2
