sequence_record_id,associated_pathogen_record_id,associated_rodent_record_id,study_id,host_genus,associatedTaxa,sequenceType,scientificName,accession_number,method,note,date_sampled,sample_location
222,9205,5095,28,Clethrionomys,Clethrionomys glareolus,Pathogen,Puumala orthohantavirus,MT453553,NA,NA,NA,NA
223,9205,5095,28,Clethrionomys,Clethrionomys glareolus,Pathogen,Puumala orthohantavirus,MT453563,NA,NA,NA,NA
224,9205,5095,28,Clethrionomys,Clethrionomys glareolus,Pathogen,Puumala orthohantavirus,MT453559,NA,NA,NA,NA
225,9205,5095,28,Clethrionomys,Clethrionomys glareolus,Pathogen,Puumala orthohantavirus,MT453560,NA,NA,NA,NA
226,9205,5095,28,Clethrionomys,Clethrionomys glareolus,Pathogen,Puumala orthohantavirus,MT453566,NA,NA,NA,NA
227,9205,5095,28,Clethrionomys,Clethrionomys glareolus,Pathogen,Puumala orthohantavirus,MT453600,NA,NA,NA,NA
228,9182,5072,28,Clethrionomys,Clethrionomys glareolus,Pathogen,Puumala orthohantavirus,MT453689,NA,NA,NA,NA
229,9182,5072,28,Clethrionomys,Clethrionomys glareolus,Pathogen,Puumala orthohantavirus,MT453692,NA,NA,NA,NA
230,9180,5070,28,Clethrionomys,Clethrionomys glareolus,Pathogen,Puumala orthohantavirus,MT453485,NA,NA,NA,NA
231,9180,5070,28,Clethrionomys,Clethrionomys glareolus,Pathogen,Puumala orthohantavirus,MT453519,NA,NA,NA,NA
232,9180,5070,28,Clethrionomys,Clethrionomys glareolus,Pathogen,Puumala orthohantavirus,MT453491,NA,NA,NA,NA
233,9180,5070,28,Clethrionomys,Clethrionomys glareolus,Pathogen,Puumala orthohantavirus,MT453492,NA,NA,NA,NA
234,9182,5072,28,Clethrionomys,Clethrionomys glareolus,Pathogen,Puumala orthohantavirus,MT453640,NA,NA,NA,NA
235,9180,5070,28,Clethrionomys,Clethrionomys glareolus,Pathogen,Puumala orthohantavirus,MT453496,NA,NA,NA,NA
236,9180,5070,28,Clethrionomys,Clethrionomys glareolus,Pathogen,Puumala orthohantavirus,MT453550,NA,NA,NA,NA
237,9180,5070,28,Clethrionomys,Clethrionomys glareolus,Pathogen,Puumala orthohantavirus,MT453710,NA,NA,NA,NA
238,9180,5070,28,Clethrionomys,Clethrionomys glareolus,Pathogen,Puumala orthohantavirus,MT453516,NA,NA,NA,NA
239,9182,5072,28,Clethrionomys,Clethrionomys glareolus,Pathogen,Puumala orthohantavirus,MT453684,NA,NA,NA,NA
240,9182,5072,28,Clethrionomys,Clethrionomys glareolus,Pathogen,Puumala orthohantavirus,MT453683,NA,NA,NA,NA
241,9182,5072,28,Clethrionomys,Clethrionomys glareolus,Pathogen,Puumala orthohantavirus,MT453687,NA,NA,NA,NA
242,9182,5072,28,Clethrionomys,Clethrionomys glareolus,Pathogen,Puumala orthohantavirus,MT453682,NA,NA,NA,NA
243,9182,5072,28,Clethrionomys,Clethrionomys glareolus,Pathogen,Puumala orthohantavirus,MT453685,NA,NA,NA,NA
244,9182,5072,28,Clethrionomys,Clethrionomys glareolus,Pathogen,Puumala orthohantavirus,MT453681,NA,NA,NA,NA
245,9182,5072,28,Clethrionomys,Clethrionomys glareolus,Pathogen,Puumala orthohantavirus,MT453680,NA,NA,NA,NA
246,9182,5072,28,Clethrionomys,Clethrionomys glareolus,Pathogen,Puumala orthohantavirus,MT453678,NA,NA,NA,NA
247,NA,NA,32,Homo,Homo sapiens,Pathogen,Sin Nombre hantavirus,MZ787943,NA,NA,NA,NA
248,NA,NA,32,Homo,Homo sapiens,Pathogen,Sin Nombre hantavirus,MZ787944,NA,NA,NA,NA
249,NA,NA,32,Homo,Homo sapiens,Pathogen,Sin Nombre hantavirus,MZ787945,NA,NA,NA,NA
250,10294,6184,32,Mus,Mus musculus,Pathogen,Sin Nombre hantavirus,MZ851449,NA,NA,NA,NA
251,10294,6184,32,Mus,Mus musculus,Pathogen,Sin Nombre hantavirus,MZ851450,NA,NA,NA,NA
252,10294,6184,32,Mus,Mus musculus,Pathogen,Sin Nombre hantavirus,MZ851451,NA,NA,NA,NA
253,10290,6180,32,Peromyscus,Peromyscus maniculatus,NA,NA,MZ851452,NA,NA,NA,NA
254,10290,6180,32,Peromyscus,Peromyscus maniculatus,NA,NA,MZ851453,NA,NA,NA,NA
255,10290,6180,32,Peromyscus,Peromyscus maniculatus,NA,NA,MZ851454,NA,NA,NA,NA
256,NA,NA,32,Homo,Homo sapiens,Pathogen,Sin Nombre hantavirus,MZ851455,NA,NA,NA,NA
257,NA,NA,32,Homo,Homo sapiens,Pathogen,Sin Nombre hantavirus,MZ851456,NA,NA,NA,NA
258,NA,NA,32,Homo,Homo sapiens,Pathogen,Sin Nombre hantavirus,MZ851457,NA,NA,NA,NA
259,10291,6181,32,Peromyscus,Peromyscus maniculatus,Pathogen,Sin Nombre hantavirus,MZ851458,NA,NA,NA,NA
260,10291,6181,32,Peromyscus,Peromyscus maniculatus,Pathogen,Sin Nombre hantavirus,MZ851459,NA,NA,NA,NA
261,10291,6181,32,Peromyscus,Peromyscus maniculatus,Pathogen,Sin Nombre hantavirus,MZ851460,NA,NA,NA,NA
262,10291,6181,32,Peromyscus,Peromyscus maniculatus,Pathogen,Sin Nombre hantavirus,MZ851461,NA,NA,NA,NA
263,10291,6181,32,Peromyscus,Peromyscus maniculatus,Pathogen,Sin Nombre hantavirus,MZ851462,NA,NA,NA,NA
264,10291,6181,32,Peromyscus,Peromyscus maniculatus,Pathogen,Sin Nombre hantavirus,MZ851463,NA,NA,NA,NA
265,10290,6180,32,Peromyscus,Peromyscus maniculatus,Pathogen,Sin Nombre hantavirus,MZ851464,NA,NA,NA,NA
266,10290,6180,32,Peromyscus,Peromyscus maniculatus,Pathogen,Sin Nombre hantavirus,MZ851465,NA,NA,NA,NA
267,10290,6180,32,Peromyscus,Peromyscus maniculatus,Pathogen,Sin Nombre hantavirus,MZ851466,NA,NA,NA,NA
268,10299,6189,32,Tamias,Tamias minimus,Pathogen,Sin Nombre hantavirus,MZ851467,NA,NA,NA,NA
269,10299,6189,32,Tamias,Tamias minimus,Pathogen,Sin Nombre hantavirus,MZ851468,NA,NA,NA,NA
270,10299,6189,32,Tamias,Tamias minimus,Pathogen,Sin Nombre hantavirus,MZ851469,NA,NA,NA,NA
271,10292,6182,32,Peromyscus,Peromyscus boylii,Pathogen,Sin Nombre hantavirus,MZ851470,NA,NA,NA,NA
272,10292,6182,32,Peromyscus,Peromyscus boylii,Pathogen,Sin Nombre hantavirus,MZ851471,NA,NA,NA,NA
273,10292,6182,32,Peromyscus,Peromyscus boylii,Pathogen,Sin Nombre hantavirus,MZ851472,NA,NA,NA,NA
274,10290,6180,32,Peromyscus,Peromyscus maniculatus,Pathogen,Sin Nombre hantavirus,MZ851473,NA,NA,NA,NA
275,10290,6180,32,Peromyscus,Peromyscus maniculatus,Pathogen,Sin Nombre hantavirus,MZ851474,NA,NA,NA,NA
276,10290,6180,32,Peromyscus,Peromyscus maniculatus,Pathogen,Sin Nombre hantavirus,MZ851475,NA,NA,NA,NA
277,10315,6205,33,Microtus,Microtus arvalis,Pathogen,Tula orthohantavirus,MK535084,NA,NA,NA,NA
278,10312,6202,33,Microtus,Microtus agrestis,Pathogen,Tula orthohantavirus,MK535086,NA,NA,NA,NA
279,10315,6205,NA,Microtus,Microtus arvalis,Pathogen,Tula orthohantavirus,MK535069,NA,NA,NA,NA
280,10312,6202,33,Microtus,Microtus agrestis,Pathogen,Tula orthohantavirus,MK535070,NA,NA,NA,NA
281,10312,6202,33,Microtus,Microtus agrestis,Pathogen,Tula orthohantavirus,MK535071,NA,NA,NA,NA
282,NA,6204,33,Microtus,Microtus agrestis,Host,NA,MK535088,NA,NA,NA,NA
283,NA,6202,33,Microtus,Microtus agrestis,Host,NA,MK535089,NA,NA,NA,NA
284,NA,6204,33,Microtus,Microtus agrestis,Host,NA,MK535087,NA,NA,NA,NA
285,NA,6202,33,Microtus,Microtus agrestis,Host,NA,MK535090,NA,NA,NA,NA
286,NA,6202,33,Microtus,Microtus agrestis,Host,NA,MK535092,NA,NA,NA,NA
287,NA,6202,33,Microtus,Microtus agrestis,Host,NA,MK535091,NA,NA,NA,NA
288,10374,6233,35,Rattus,Rattus norvegicus,Pathogen,Seoul hantavirus,MZ670777,NA,NA,NA,NA
289,10374,6233,35,Rattus,Rattus norvegicus,Pathogen,Seoul hantavirus,MZ670778,NA,NA,NA,NA
290,10374,6233,35,Rattus,Rattus norvegicus,Pathogen,Seoul hantavirus,MZ670779,NA,NA,NA,NA
291,10374,6233,35,Rattus,Rattus norvegicus,Pathogen,Seoul hantavirus,MZ670780,NA,NA,NA,NA
292,10374,6233,35,Rattus,Rattus norvegicus,Pathogen,Seoul hantavirus,MZ670781,NA,NA,NA,NA
293,10374,6233,35,Rattus,Rattus norvegicus,Pathogen,Seoul hantavirus,MZ670782,NA,NA,NA,NA
294,11057,6486,37,Apodemus,Apodemus flavicollis,Pathogen,Orthohantavirus dobravaense,MK605679,NA,NA,NA,NA
295,11058,6486,37,Apodemus,Apodemus flavicollis,Pathogen,Seewis virus,MK605682,NA,NA,NA,NA
296,11058,6486,37,Apodemus,Apodemus flavicollis,Pathogen,Seewis virus,MK605683,NA,NA,NA,NA
297,11061,6487,37,Apodemus,Apodemus sylvaticus,Pathogen,Seewis virus,MK605684,NA,NA,NA,NA
298,11063,6488,37,Apodemus,Apodemus agrarius,Pathogen,Orthohantavirus dobravaense,MK605680,NA,NA,NA,NA
299,11063,6488,37,Apodemus,Apodemus agrarius,Pathogen,Orthohantavirus dobravaense,MK605681,NA,NA,NA,NA
300,11068,6489,37,Microtus,Microtus agrestis,Pathogen,Orthohantavirus tulaense,MK605685,NA,NA,NA,NA
301,11120,6529,40,Apodemus,Apodemus flavicollis,Pathogen,Orthohantavirus dobravaense,OM677634,NA,NA,NA,NA
302,11120,6529,40,Apodemus,Apodemus flavicollis,Pathogen,Orthohantavirus dobravaense,OM677635,NA,NA,NA,NA
303,11120,6529,40,Apodemus,Apodemus flavicollis,Pathogen,Orthohantavirus dobravaense,OM677636,NA,NA,NA,NA
304,11120,6529,40,Apodemus,Apodemus flavicollis,Pathogen,Orthohantavirus dobravaense,OM677637,NA,NA,NA,NA
305,11120,6529,40,Apodemus,Apodemus flavicollis,Pathogen,Orthohantavirus dobravaense,OM677638,NA,NA,NA,NA
306,11120,6529,40,Apodemus,Apodemus flavicollis,Pathogen,Orthohantavirus dobravaense,OM677639,NA,NA,NA,NA
307,NA,NA,41,Homo,Homo sapiens,Pathogen,Orthohantavirus hantanense,MH598466,NA,NA,NA,NA
308,NA,NA,41,Homo,Homo sapiens,Pathogen,Orthohantavirus hantanense,MH598467,NA,NA,NA,NA
309,NA,NA,41,Homo,Homo sapiens,Pathogen,Orthohantavirus hantanense,MH598468,NA,NA,NA,NA
310,NA,NA,41,Homo,Homo sapiens,Pathogen,Orthohantavirus hantanense,MH598469,NA,NA,NA,NA
311,NA,NA,41,Homo,Homo sapiens,Pathogen,Orthohantavirus hantanense,MH598470,NA,NA,NA,NA
312,NA,NA,41,Apodemus,Apodemus agrarius,Pathogen,Orthohantavirus hantanense,MH598471,NA,NA,NA,NA
313,NA,NA,41,Apodemus,Apodemus agrarius,Pathogen,Orthohantavirus hantanense,MH598472,NA,NA,NA,NA
314,NA,NA,41,Apodemus,Apodemus agrarius,Pathogen,Orthohantavirus hantanense,MH598473,NA,NA,NA,NA
315,NA,NA,41,Apodemus,Apodemus agrarius,Pathogen,Orthohantavirus hantanense,MH598474,NA,NA,NA,NA
316,11134,6531,41,Apodemus,Apodemus agrarius,Pathogen,Orthohantavirus hantanense,MH598475,NA,NA,NA,NA
317,11134,6531,41,Apodemus,Apodemus agrarius,Pathogen,Orthohantavirus hantanense,MH598476,NA,NA,NA,NA
318,11142,6539,41,Apodemus,Apodemus agrarius,Pathogen,Orthohantavirus hantanense,MH598477,NA,NA,NA,NA
319,11142,6539,41,Apodemus,Apodemus agrarius,Pathogen,Orthohantavirus hantanense,MH598478,NA,NA,NA,NA
320,11142,6539,41,Apodemus,Apodemus agrarius,Pathogen,Orthohantavirus hantanense,MH598479,NA,NA,NA,NA
321,NA,NA,41,Homo,Homo sapiens,Pathogen,Orthohantavirus hantanense,MH598480,NA,NA,NA,NA
322,NA,NA,41,Homo,Homo sapiens,Pathogen,Orthohantavirus hantanense,MH598481,NA,NA,NA,NA
323,NA,NA,41,Homo,Homo sapiens,Pathogen,Orthohantavirus hantanense,MH598482,NA,NA,NA,NA
324,NA,NA,41,Homo,Homo sapiens,Pathogen,Orthohantavirus hantanense,MH598483,NA,NA,NA,NA
325,NA,NA,41,Homo,Homo sapiens,Pathogen,Orthohantavirus hantanense,MH598484,NA,NA,NA,NA
326,NA,NA,41,Apodemus,Apodemus agrarius,Pathogen,Orthohantavirus hantanense,MH598485,NA,NA,NA,NA
327,NA,NA,41,Apodemus,Apodemus agrarius,Pathogen,Orthohantavirus hantanense,MH598486,NA,NA,NA,NA
328,NA,NA,41,Apodemus,Apodemus agrarius,Pathogen,Orthohantavirus hantanense,MH598487,NA,NA,NA,NA
329,NA,NA,41,Apodemus,Apodemus agrarius,Pathogen,Orthohantavirus hantanense,MH598488,NA,NA,NA,NA
330,11134,6531,41,Apodemus,Apodemus agrarius,Pathogen,Orthohantavirus hantanense,MH598489,NA,NA,NA,NA
331,11134,6531,41,Apodemus,Apodemus agrarius,Pathogen,Orthohantavirus hantanense,MH598490,NA,NA,NA,NA
332,11142,6539,41,Apodemus,Apodemus agrarius,Pathogen,Orthohantavirus hantanense,MH598491,NA,NA,NA,NA
333,11142,6539,41,Apodemus,Apodemus agrarius,Pathogen,Orthohantavirus hantanense,MH598492,NA,NA,NA,NA
334,11142,6539,41,Apodemus,Apodemus agrarius,Pathogen,Orthohantavirus hantanense,MH598493,NA,NA,NA,NA
335,NA,NA,41,Homo,Homo sapiens,Pathogen,Orthohantavirus hantanense,MH598494,NA,NA,NA,NA
336,NA,NA,41,Homo,Homo sapiens,Pathogen,Orthohantavirus hantanense,MH598495,NA,NA,NA,NA
337,NA,NA,41,Homo,Homo sapiens,Pathogen,Orthohantavirus hantanense,MH598496,NA,NA,NA,NA
338,NA,NA,41,Homo,Homo sapiens,Pathogen,Orthohantavirus hantanense,MH598497,NA,NA,NA,NA
339,NA,NA,41,Homo,Homo sapiens,Pathogen,Orthohantavirus hantanense,MH598498,NA,NA,NA,NA
340,NA,NA,41,Apodemus,Apodemus agrarius,Pathogen,Orthohantavirus hantanense,MH598499,NA,NA,NA,NA
341,NA,NA,41,Apodemus,Apodemus agrarius,Pathogen,Orthohantavirus hantanense,MH598500,NA,NA,NA,NA
342,NA,NA,41,Apodemus,Apodemus agrarius,Pathogen,Orthohantavirus hantanense,MH598501,NA,NA,NA,NA
343,NA,NA,41,Apodemus,Apodemus agrarius,Pathogen,Orthohantavirus hantanense,MH598502,NA,NA,NA,NA
344,11134,6531,41,Apodemus,Apodemus agrarius,Pathogen,Orthohantavirus hantanense,MH598503,NA,NA,NA,NA
345,11134,6531,41,Apodemus,Apodemus agrarius,Pathogen,Orthohantavirus hantanense,MH598504,NA,NA,NA,NA
346,11142,6539,41,Apodemus,Apodemus agrarius,Pathogen,Orthohantavirus hantanense,MH598505,NA,NA,NA,NA
347,11142,6539,41,Apodemus,Apodemus agrarius,Pathogen,Orthohantavirus hantanense,MH598506,NA,NA,NA,NA
348,11142,6539,41,Apodemus,Apodemus agrarius,Pathogen,Orthohantavirus hantanense,MH598507,NA,NA,NA,NA
349,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276691,NA,NA,2017-05-10,UH7
350,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276692,NA,NA,2017-05-13,UH2
351,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276693,NA,NA,2017-05-09,UH5
352,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276694,NA,NA,2017-05-09,UH5
353,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276695,NA,NA,2017-05-10,UH5
354,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276696,NA,NA,2017-05-10,UH5
355,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276697,NA,NA,2017-05-10,UH5
356,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276698,NA,NA,2017-05-11,UH17
357,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276699,NA,NA,2017-05-12,UH17
358,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276700,NA,NA,2017-05-12,UH17
359,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276701,NA,NA,2017-05-12,UH17
360,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276702,NA,NA,2017-05-12,UH17
361,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276703,NA,NA,2017-05-12,UH17
362,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276704,NA,NA,2017-08-10,E1
363,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276705,NA,NA,2017-08-16,KYF6
364,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276706,NA,NA,2017-08-16,KYF6
365,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276707,NA,NA,2017-08-16,KYF6
366,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276708,NA,NA,2017-08-16,KYF6
367,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276709,NA,NA,2017-08-16,KYF6
368,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276710,NA,NA,2017-08-15,UH12
369,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276711,NA,NA,2017-08-15,UH12
370,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276712,NA,NA,2017-08-13,UH12
371,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276713,NA,NA,2017-08-13,UH12
372,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276714,NA,NA,2017-08-12,UH4
373,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276715,NA,NA,2017-08-13,UH2
374,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276716,NA,NA,2017-08-11,UH2
375,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276717,NA,NA,2017-08-11,UH5
376,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276718,NA,NA,2017-08-17,KYF1
377,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276719,NA,NA,2017-08-17,KYF2
378,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276720,NA,NA,2017-08-17,KYF2
379,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276721,NA,NA,2017-08-17,UH17
380,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276722,NA,NA,2017-08-17,UH18
381,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276723,NA,NA,2017-10-26,KYF6
382,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276724,NA,NA,2017-10-25,KYF6
383,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276725,NA,NA,2017-10-24,KYF6
384,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276726,NA,NA,2017-10-24,KYF6
385,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276727,NA,NA,2017-10-24,KYF6
386,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276728,NA,NA,2017-10-24,KYF6
387,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276729,NA,NA,2017-10-24,KYF6
388,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276730,NA,NA,2017-10-24,KYF6
389,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276731,NA,NA,2017-10-25,KYF6
390,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276732,NA,NA,2017-10-25,KYF6
391,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276733,NA,NA,2017-10-26,KYF6
392,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276734,NA,NA,2017-10-26,KYF6
393,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276735,NA,NA,2017-10-26,KYF6
394,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276736,NA,NA,2017-10-26,KYF6
395,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276737,NA,NA,2017-10-26,KYF6
396,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276738,NA,NA,2017-10-26,KYF6
397,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276739,NA,NA,2017-10-24,KYF1
398,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276740,NA,NA,2017-10-23,E4
399,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276741,NA,NA,2017-10-24,E4
400,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276742,NA,NA,2017-10-25,E4
401,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276743,NA,NA,2017-10-26,UH16
402,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276744,NA,NA,2017-10-26,UH16
403,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276745,NA,NA,2017-10-28,UH16
404,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276746,NA,NA,2017-10-26,UH16
405,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276747,NA,NA,2017-10-27,UH1
406,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276748,NA,NA,2017-10-28,UH1
407,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276749,NA,NA,2017-10-28,UH1
408,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276750,NA,NA,2017-10-29,UH1
409,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276751,NA,NA,2017-10-29,UH1
410,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276752,NA,NA,2017-10-29,W1
411,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276753,NA,NA,2017-10-28,W2
412,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276754,NA,NA,2017-10-28,UH2
413,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276755,NA,NA,2017-10-28,UH2
414,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276756,NA,NA,2017-10-28,UH2
415,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276757,NA,NA,2017-10-28,UH2
416,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276758,NA,NA,2017-10-29,UH2
417,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276759,NA,NA,2017-10-29,UH2
418,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276760,NA,NA,2017-10-29,UH2
419,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276761,NA,NA,2017-10-18,UH14
420,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276762,NA,NA,2017-10-20,UH14
421,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276763,NA,NA,2017-10-18,UH4
422,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276764,NA,NA,2017-10-19,UH4
423,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276765,NA,NA,2017-10-20,UH4
424,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276766,NA,NA,2017-10-20,UH4
425,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276767,NA,NA,2017-10-20,UH4
426,11326,6723,43,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,MT276768,NA,NA,2017-10-22,UH13
427,11350,6725,43,Clethrionomys,Clethrionomys glareolus,Pathogen,Orthohantavirus puumalaense,MT276769,NA,NA,2017-08-11,UH2
428,11350,6725,43,Clethrionomys,Clethrionomys glareolus,Pathogen,Orthohantavirus puumalaense,MT276770,NA,NA,2017-08-11,UH3
429,11350,6725,43,Clethrionomys,Clethrionomys glareolus,Pathogen,Orthohantavirus puumalaense,MT276771,NA,NA,2017-10-29,UH2
430,11350,6725,43,Clethrionomys,Clethrionomys glareolus,Pathogen,Orthohantavirus puumalaense,MT276772,NA,NA,2017-10-24,UH9
431,11350,6725,43,Clethrionomys,Clethrionomys glareolus,Pathogen,Orthohantavirus puumalaense,MT276773,NA,NA,2017-10-27,UH2
432,11350,6725,43,Clethrionomys,Clethrionomys glareolus,Pathogen,Orthohantavirus puumalaense,MT276774,NA,NA,2017-10-28,UH2
433,11350,6725,43,Clethrionomys,Clethrionomys glareolus,Pathogen,Orthohantavirus puumalaense,MT580909,NA,NA,2017-05-09,UH6
434,11368,6743,44,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,OL677520,NA,NA,NA,NA
435,11368,6743,44,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,OL677521,NA,NA,NA,NA
436,11441,6816,44,Dryomys,Dryomys nitedula,Pathogen,Orthohantavirus tulaense,OL677522,NA,NA,NA,NA
437,11441,6816,44,Dryomys,Dryomys nitedula,Pathogen,Orthohantavirus tulaense,OL677523,NA,NA,NA,NA
438,11368,6743,44,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,OL677524,NA,NA,NA,NA
439,11368,6743,44,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,OL677525,NA,NA,NA,NA
440,11368,6743,44,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,OL677526,NA,NA,NA,NA
441,11368,6743,44,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,OL677527,NA,NA,NA,NA
442,11368,6743,44,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,OL677528,NA,NA,NA,NA
